光纤位置,mean_angle,std_angle,skew_angle,kurt_angle,range_angle,q25_angle,q50_angle,q75_angle,max_angle,min_angle,angle_change_rate,neg_value_ratio,neg_value_mean,pos_value_mean,pos_neg_contrast,dominant_freq,spectral_centroid,spectral_bandwidth,wavelet_energy_low,wavelet_energy_high,wavelet_energy_ratio,angle_gradient,failure_angle_est,failure_span,failure_start_angle,failure_end_angle,failure_intensity,circular_correlation,small_window_std,sequence_autocorr,residual_std,attention_weight
0.63005,136.84125377777775,3.890695509777423,-0.10702296357637436,-1.3105524967496462,11.749224000000027,134.327802,136.795554,140.48346800000002,142.649604,130.90037999999998,0.1902226000000006,0.0,0.0,136.84125377777775,136.84125377777775,0.0,0.06547168374086125,0.13183730625370163,5.553806954279034,0.13094456675717947,0.9769656481254597,0.951113000000003,,0.0,,,0.0,0.0,0.17615786710348447,-0.17297014298112637,3.286003877401556,1.0
0.91894,140.86432644444443,3.720583739532737,-0.8383797663115906,0.32035305477247045,13.197882000000021,139.27309799999998,141.11413,143.3351,145.729712,132.53182999999999,0.1678297999999998,0.0,0.0,140.86432644444443,140.86432644444443,0.0,0.06391154179346736,0.13211456630836108,10.72626263184954,0.12595454778918325,0.9883936576458917,0.839148999999999,,0.0,,,0.0,0.0,0.22146463586167603,-0.08344229501254889,2.597158342737811,1.0
1.20782,144.19989555555557,4.292955732930223,0.38137919965749567,-1.177366741162181,13.36694,141.8956,142.389112,148.75047,151.1496,137.78266,0.2988714999999999,0.0,0.0,144.19989555555557,144.19989555555557,0.0,0.038081414734536155,0.10182496510649142,14.387142157090917,0.10700980431516834,0.9926170358431892,1.4943574999999996,,0.0,,,0.0,0.0,0.09728230521522294,-0.08724235629642349,1.8658937864171676,1.0
1.4967,142.5186035555556,4.763150669295342,1.3701386739422379,1.4401409009364787,18.05109999999999,140.483482,140.86733,144.29477,154.2343,136.1832,0.4512774999999998,0.0,0.0,142.5186035555556,142.5186035555556,0.0,0.03721776876015857,0.11507243836429984,12.100935448834754,0.051172314461918986,0.9957890173821488,2.256387499999999,,0.0,,,0.0,0.0,0.11583989569720951,-0.6413849654847125,2.6949537095436726,1.0
1.78559,139.01284688888887,3.77492359198047,-0.4440922130283772,-0.29251452999635275,13.61372799999998,136.7544,139.8391,141.05429,144.98023,131.36650200000003,0.21966625000000023,0.0,0.0,139.01284688888887,139.01284688888887,0.0,0.03851612037145279,0.10453820283205403,7.946760684672526,0.08832454806445898,0.9890076401674616,1.098331250000001,,0.0,,,0.0,0.0,0.04441997694223324,-0.10245379069772813,3.1984024172461667,1.0
2.07447,137.44409977777778,3.796578842358579,-0.11993115520302625,-1.2569153838117733,10.940341999999987,135.13864,137.30809,141.73738,142.30684,131.366498,0.12496875000000003,0.0,0.0,137.44409977777778,137.44409977777778,0.0,0.06338337357287976,0.13273967793147803,6.518588306010244,0.1994679545241246,0.9703086805341387,0.6248437500000001,,0.0,,,0.0,0.0,0.09715859945139473,-0.3346263121321223,3.4879641752600343,1.0
2.36335,137.540952,4.3924010847367345,-0.17121664069366258,-1.3561740254398458,12.394859999999994,134.69796,137.37137,141.62137,143.3912,130.99634,0.13146599999999964,0.0,0.0,137.540952,137.540952,0.0,0.07076836463774887,0.13648591779971125,6.506715454990959,0.3308212521361916,0.9516168956158555,0.6573299999999982,,0.0,,,0.0,0.0,0.14604194949233257,-0.3567064176219982,3.983578568542031,1.0
2.65224,138.41947666666667,4.024981332340424,-0.16696789060901737,-1.0190956590444273,12.809449999999998,136.474,137.30282,141.75847,144.06627,131.25682,0.16908625000000016,0.0,0.0,138.41947666666667,138.41947666666667,0.0,0.056568065520654146,0.12856619265486932,7.344197034849948,0.2065802683963115,0.9726411917346891,0.8454312500000007,,0.0,,,0.0,0.0,0.07772435414728271,-0.4111098878962411,3.4774974283511546,1.0
2.94112,137.60644444444446,5.208488033291022,-1.067934158846762,0.7346273604460545,18.88203,135.61194,138.12539,141.14153,144.32593,125.4439,0.17729149999999977,0.0,0.0,137.60644444444446,137.60644444444446,0.0,0.0781645513667461,0.14479741106182545,6.366020609343767,0.3666579900726594,0.9455405475320039,0.8864574999999988,,0.0,,,0.0,0.0,0.07799762414635199,-0.35157136400979616,4.7819814512107754,1.0
3.23,138.10521111111112,3.0142458613481278,0.38174648587849574,-1.0733259117682719,9.464979999999997,135.38343,138.05686,140.45605,143.47746,134.01248,0.17150324999999994,0.0,0.0,138.10521111111112,138.10521111111112,0.0,0.04121625744842445,0.11070061768182733,6.928830955320822,0.02958456763941306,0.9957483758132337,0.8575162499999998,,0.0,,,0.0,0.0,0.08520613892091777,-0.1296871302576807,2.317913824023837,1.0
3.51889,137.0602622222222,2.8114795057200643,0.15022020601109184,-0.7636722453356941,9.665359999999993,134.97217,136.99172,139.01653,142.03267,132.36731,0.17651249999999977,0.0,0.0,137.0602622222222,137.0602622222222,0.0,0.049905172133054974,0.11774218289814077,5.659019426273423,0.044210739975679314,0.9922481227679469,0.8825624999999988,,0.0,,,0.0,0.0,0.0850597951233599,0.05971067022584452,2.008932227279521,1.0
3.80777,135.7642833333333,2.8331786120147435,0.18608853867199251,-0.7894490267940495,9.733910000000009,133.94394,135.45202,138.19394,140.7988,131.06489,0.17137150000000007,0.0,0.0,135.7642833333333,135.7642833333333,0.0,0.049097881820050794,0.11613979958063879,4.301530520107416,0.029236254634927746,0.9932491735863583,0.8568575000000003,,0.0,,,0.0,0.0,0.08819135189790626,0.11376013026967194,2.0965545250607183,1.0
4.09665,135.02040666666667,2.9988650073097114,0.3423527939679515,-0.8657522773311177,10.07665,132.87001,134.56089,137.43991,140.45606,130.37941,0.17308525000000047,0.0,0.0,135.02040666666667,135.02040666666667,0.0,0.048472068807467274,0.11576358119254598,3.568512124658435,0.024802087428165302,0.9930977125673981,0.8654262500000023,,0.0,,,0.0,0.0,0.08960233987252508,0.09545027060060102,2.2631617540567013,1.0
4.38554,134.29637555555553,3.1652985523121138,0.3154147724172064,-0.9030207750898018,10.556490000000025,132.09312,133.80685,136.89152,139.97622,129.41973,0.17651275000000055,0.0,0.0,134.29637555555553,134.29637555555553,0.0,0.051200100787669074,0.11688543944156927,2.947954416238546,0.022943686429317253,0.9922771883330695,0.8825637500000028,,0.0,,,0.0,0.0,0.09690834410758124,0.17707767077701164,2.419128734841155,1.0
4.67442,133.90409666666667,3.2250075203977744,0.34839190693894356,-0.8532561570500139,10.419399999999996,131.81893,133.80685,136.27458,139.90767,129.48827,0.18336775000000002,0.0,0.0,133.90409666666667,133.90409666666667,0.0,0.04691493060280794,0.11270620190728992,2.5793279928882287,0.016637041170526418,0.9935911920801669,0.9168387500000001,,0.0,,,0.0,0.0,0.08463601919699783,0.2502596619111634,2.503954326723881,1.0
4.9633,132.99187333333333,3.1499974257661467,0.37506575591085795,-0.7032549685479332,10.556489999999997,130.85924,133.18991,134.83506,139.01654,128.46005,0.18336775000000002,0.0,0.0,132.99187333333333,132.99187333333333,0.0,0.044485087108482445,0.11048734008525186,1.8871723473336253,0.017203207325974475,0.9909664837993858,0.9168387500000001,,0.0,,,0.0,0.0,0.056866680442580475,0.4356084068632053,2.476292640386701,1.0
5.25219,132.07788888888888,3.243150102598959,0.20826287493679652,-0.8715750324932339,10.282299999999992,130.17375,132.50442,133.80683,137.91976,127.63746,0.1782267499999996,0.0,0.0,132.07788888888888,132.07788888888888,0.0,0.06944814820927903,0.13336418276505563,1.349525574958711,0.0387074178209658,0.9721174917182502,0.8911337499999981,,0.0,,,0.0,0.0,0.08395642340249566,0.3729983753118395,2.4836448358457006,1.0
