光纤位置,0,5,10,15,20,25,30,35,40
0.63005,135.0407,,,140.5246,,,,,
0.91894,139.01652,,,143.3351,,,,144.9803,
1.20782,137.78266,141.8956,,142.04246,,,151.1496,148.75047,
1.4967,136.1832,140.86733,,141.09583,,,144.29477,144.77464,154.2343
1.78559,136.19358,137.78266,139.8391,141.05429,,136.7544,140.6617,142.48316,144.98023
2.07447,137.30809,135.13864,136.41167,141.73738,,132.6415,138.07644,142.00984,142.30684
2.36335,137.37137,135.9547,134.69796,141.62137,,130.99634,139.83912,143.3912,142.63001
2.65224,137.30282,136.474,136.90131,141.75847,,134.40419,140.21303,143.39838,144.06627
2.94112,137.23427,134.85615,138.12539,141.14153,125.4439,135.61194,139.20637,142.51252,144.32593
3.23,136.61733,134.01248,138.15655,140.45605,135.38343,135.16535,138.05686,141.62139,143.47746
3.51889,134.97217,132.36731,136.99172,139.01653,137.16572,134.53978,136.34315,140.11331,142.03267
3.80777,133.94394,131.06489,135.8633,138.19394,134.69797,133.25845,135.45202,138.60524,140.7988
4.09665,133.53265,130.37941,135.04072,137.43991,132.87001,132.57296,134.56089,138.33105,140.45606
4.38554,132.91571,129.41973,134.35523,136.89152,131.42634,132.09312,133.80685,137.78266,139.97622
4.67442,132.57296,129.48827,134.14959,136.27458,129.9523,131.81893,133.80685,137.16572,139.90767
4.9633,131.68183,129.41973,133.32701,134.83506,128.46005,130.85924,133.18991,136.13749,139.01654
5.25219,130.79069,127.63746,132.64153,133.80683,127.63747,130.17375,132.50442,135.58909,137.91976
5.54107,129.76247,126.60923,131.3391,132.71005,126.60924,128.73423,130.99635,134.08103,136.75443
5.82995,128.66569,125.78665,130.24232,131.68183,125.64956,127.63745,129.83102,132.43586,135.45201
6.11884,127.29472,124.07293,128.9399,130.6536,124.34713,126.40358,128.2544,130.92779,134.21814
6.40772,126.19794,123.04471,127.70603,129.41973,122.63341,125.03261,127.29471,129.55683,132.77862
6.6966,125.44391,122.56487,126.88344,128.46005,121.81083,124.27857,126.54068,128.73424,132.23023
6.98549,125.44391,123.04471,126.2665,128.32295,122.08503,124.00437,126.60923,128.04875,131.88748
7.27437,125.37536,123.11326,126.2665,128.32295,122.22213,123.79873,126.33503,127.63747,131.47619
7.56325,125.78665,123.38745,126.60924,128.59714,122.70197,124.14147,126.95197,128.32295,131.68183
7.85214,126.47214,124.62133,127.15763,129.76247,122.70197,124.82696,127.84311,128.93989,132.36731
8.14102,126.74633,125.44391,127.50037,129.96811,123.18181,125.3068,128.1173,129.69393,132.77861
8.4299,126.81488,125.7181,127.63747,130.24231,123.73019,125.37535,128.93988,129.35119,132.84715
8.71879,127.56891,126.33503,128.5286,130.79069,124.27859,126.19793,129.76247,129.83103,133.60119
9.00767,128.46005,126.60923,128.87134,131.81893,125.51247,126.81487,130.5165,130.31087,134.21813
9.29655,128.66569,126.88342,129.21408,132.50441,125.30682,127.29471,130.37941,130.65361,134.69797
9.58544,129.28263,128.1173,129.55682,132.71006,125.71811,127.50036,130.58505,131.06491,135.45201
9.87432,128.73425,127.9802,129.35117,132.16167,125.16972,127.02052,130.10521,130.92781,134.76652
10.1632,128.46005,127.36327,129.14553,131.81892,124.48423,126.74633,129.96811,131.0649,134.90362
10.45209,128.32295,127.98021,129.07697,131.95602,124.07294,126.60923,130.03666,130.85925,134.76652
10.74097,128.04876,127.29472,129.07697,132.16167,124.34713,126.67778,129.89957,131.0649,134.69797
11.02985,127.98021,127.36327,129.00843,132.50441,123.86729,126.54069,129.89957,131.13345,134.49233
11.31874,127.63746,126.95197,128.80278,132.29877,123.31891,126.19794,129.76247,130.72216,134.42378
11.60762,127.29471,126.47213,128.66568,131.81893,122.70197,125.99229,129.35117,130.92781,134.28669
11.8965,127.08907,126.47213,128.46003,132.02457,122.70197,125.85519,129.14553,130.17377,134.14959
12.18539,126.74633,125.51245,127.98019,131.33909,122.63341,125.51245,128.46004,129.69393,133.53265
12.47427,126.33503,124.68987,127.43181,130.6536,122.01647,125.16971,127.56891,129.14554,132.98426
12.76315,125.92374,123.52455,126.95197,130.03667,121.05679,124.62131,126.60923,128.6657,132.43587
13.05204,124.62132,121.87938,125.64954,129.07699,120.09711,123.45599,125.10115,127.50037,130.9278
13.34092,123.38745,121.0568,124.75841,127.77456,118.38339,122.56485,123.18179,126.67779,129.83102
13.6298,123.25035,120.57696,124.41567,127.50037,118.38339,122.49631,123.11324,126.54069,129.41973
13.91869,122.56486,119.48018,124.21002,127.63747,118.24629,122.63341,122.83905,126.33505,129.07699
14.20757,122.97615,119.13744,124.62131,127.91166,118.31484,123.52454,123.18179,126.81489,129.55683
14.49645,122.9076,119.68583,124.89551,128.11731,118.38339,123.52454,123.0447,126.33505,129.55683
14.78534,122.97615,119.27453,124.82697,127.43182,117.90355,123.31889,122.70196,126.40359,129.41974
15.07422,122.97615,120.09711,124.75842,126.95198,117.9721,123.38744,122.77051,125.92375,129.55684
15.3631,122.77051,119.96002,124.55277,126.54069,117.9721,123.18179,122.29067,125.78665,129.28264
15.65199,122.08502,119.34308,124.00439,125.92375,117.01242,122.83905,121.53663,125.58101,128.59715
15.94087,122.42777,120.30276,124.27858,126.12939,117.62936,123.11325,121.94793,125.8552,129.28264
16.22975,121.81083,119.75437,124.00439,125.30681,117.08097,123.25035,121.74228,125.92375,129.07699
16.51864,120.98824,119.89147,123.52455,124.75841,116.46403,122.83906,121.05679,125.37535,128.93989
16.80752,120.98824,120.30276,123.66164,124.89551,116.46403,122.42777,121.53663,125.30681,128.87135
